id,price,neighbourhood_group,neighbourhood
932408838051849078,54,Sarrià-Sant Gervasi,Sarrià
928854494406959653,52,Sant Andreu,Sant Andreu
928858931931967122,120,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
932454660997786885,209,Eixample,l'Antiga Esquerra de l'Eixample
932498483529306362,248,Eixample,la Dreta de l'Eixample
928897023973317892,161,Eixample,Sant Antoni
932533120390075705,75,Ciutat Vella,el Raval
928919721429139226,78,Sants-Montjuïc,Sants
932569596868861320,200,Ciutat Vella,el Barri Gòtic
928941163244537984,30,Sants-Montjuïc,la Bordeta
932573612400426842,58,Gràcia,Vallcarca i els Penitents
932744856445635366,76,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
932592884017394440,113,Ciutat Vella,el Raval
932851242487239796,28,Eixample,la Nova Esquerra de l'Eixample
932860242702722475,30,Gràcia,la Vila de Gràcia
932594243083303838,69,Sants-Montjuïc,la Bordeta
932608483232623353,69,Gràcia,Vallcarca i els Penitents
933051831227466200,84,Gràcia,Vallcarca i els Penitents
932639840046560370,75,Gràcia,Vallcarca i els Penitents
933071125000316968,66,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
932650615503150622,75,Gràcia,Vallcarca i els Penitents
933079571210870248,190,Sants-Montjuïc,Sants
933083341530233229,381,Ciutat Vella,el Barri Gòtic
932656148990852788,36,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
933088452972045025,53,Sant Martí,Sant Martí de Provençals
932711039543552147,66,Sants-Montjuïc,el Poble Sec
933103348282159125,39,Eixample,la Dreta de l'Eixample
932711286818111942,187,Eixample,Sant Antoni
932712741023976326,69,Ciutat Vella,el Barri Gòtic
932723887559658273,150,Ciutat Vella,el Barri Gòtic
933127677971217249,32,Ciutat Vella,el Raval
933133515772919858,44,Eixample,la Dreta de l'Eixample
932725013024212949,52,Sants-Montjuïc,el Poble Sec
933152775434157154,75,Gràcia,Vallcarca i els Penitents
933153090767970848,76,Eixample,Sant Antoni
933170485394698500,32,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
932741168798253573,28,Eixample,Sant Antoni
933185799760621381,37,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
934674852233924058,90,Ciutat Vella,el Barri Gòtic
933198493827748835,48,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
934683721142756102,149,Sant Martí,el Poblenou
933201734917755748,172,Gràcia,la Vila de Gràcia
933205180280298929,40,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
934704325234081423,180,Sants-Montjuïc,el Poble Sec
933212261972644585,36,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
934744940544483763,50,Horta-Guinardó,el Guinardó
933219996528740254,40,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
933221005875621154,48,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
933228480676301856,40,Nou Barris,la Prosperitat
934768528390792431,100,Sants-Montjuïc,el Poble Sec
933241704497659860,151,Sant Martí,el Camp de l'Arpa del Clot
934768632518061171,103,Ciutat Vella,la Barceloneta
933253318140321820,69,Eixample,la Dreta de l'Eixample
934779540094729209,110,Eixample,la Sagrada Família
933256945039242042,56,Ciutat Vella,el Raval
934887607421709289,81,Gràcia,la Salut
933280721662166924,66,Sant Andreu,Sant Andreu
934908446130634314,110,Ciutat Vella,el Barri Gòtic
933289586093454376,45,Sants-Montjuïc,la Bordeta
934966366861135154,23,Eixample,l'Antiga Esquerra de l'Eixample
935110024479907690,96,Ciutat Vella,el Raval
933385854138182950,75,Sarrià-Sant Gervasi,el Putxet i el Farró
935225159751610079,44,Sant Martí,el Poblenou
933420802138514817,39,Horta-Guinardó,el Guinardó
935245768427988377,66,Ciutat Vella,el Raval
933511242277304280,33,Eixample,la Nova Esquerra de l'Eixample
933730731501741545,80,Sant Martí,el Parc i la Llacuna del Poblenou
935246132890423498,28,Ciutat Vella,el Barri Gòtic
935275695343626052,32,Sants-Montjuïc,la Font de la Guatlla
935286342960489583,65,Eixample,el Fort Pienc
933749295788342161,17,Sant Martí,el Besòs i el Maresme
933785806260598046,76,Gràcia,la Vila de Gràcia
935290590576544432,55,Ciutat Vella,la Barceloneta
933795470028749692,80,Sants-Montjuïc,Sants - Badal
933804129792900601,90,Ciutat Vella,el Raval
935291378081316331,66,Eixample,el Fort Pienc
935293020961594238,300,Sant Martí,el Camp de l'Arpa del Clot
933852285355158899,50,Sant Martí,el Clot
935308060837836116,78,Eixample,la Sagrada Família
933879881290496856,1160,Eixample,el Fort Pienc
935313185096859648,63,Eixample,el Fort Pienc
935316234633420936,40,Sants-Montjuïc,la Font de la Guatlla
935320031839829455,162,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
933891189127664980,433,Ciutat Vella,el Barri Gòtic
935321633667535067,88,Sant Martí,la Vila Olímpica del Poblenou
933923749455254805,150,Ciutat Vella,el Barri Gòtic
933936151677443460,68,Eixample,la Nova Esquerra de l'Eixample
935338608116852575,558,Gràcia,la Vila de Gràcia
933952670419525057,25,Sants-Montjuïc,el Poble Sec
935340590559425882,23,Horta-Guinardó,la Font d'en Fargues
933965680028387718,76,Sant Martí,el Camp de l'Arpa del Clot
935358952557422895,32,Sants-Montjuïc,la Font de la Guatlla
935380276698687066,130,Sant Martí,el Parc i la Llacuna del Poblenou
933982787533194346,75,Sarrià-Sant Gervasi,el Putxet i el Farró
933990585065140331,64,Sarrià-Sant Gervasi,el Putxet i el Farró
935388912063396339,159,Ciutat Vella,el Raval
935416963875715976,32,Sant Andreu,la Trinitat Vella
934142447459734356,19,Eixample,l'Antiga Esquerra de l'Eixample
934157582505876805,27,Eixample,la Dreta de l'Eixample
935417545649467642,109,Ciutat Vella,la Barceloneta
935453360794341966,89,Sant Martí,la Vila Olímpica del Poblenou
934166941016532929,30,Eixample,la Dreta de l'Eixample
934185314251811032,28,Eixample,la Dreta de l'Eixample
935465808218132484,32,Sants-Montjuïc,Hostafrancs
934193849590406151,31,Eixample,la Dreta de l'Eixample
934203516123973523,27,Ciutat Vella,el Raval
935520410252576440,76,Ciutat Vella,el Barri Gòtic
935532324255802712,48,Eixample,la Dreta de l'Eixample
934210142862709493,68,Ciutat Vella,el Raval
935538415993680872,52,Gràcia,el Camp d'en Grassot i Gràcia Nova
934213663277546567,27,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
935598189616607208,66,Eixample,Sant Antoni
934214756114761819,34,Ciutat Vella,el Raval
934219460228400625,31,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
934223804138648128,28,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
935613908014116845,143,Ciutat Vella,el Raval
934232351800925328,27,Eixample,Sant Antoni
934239904497296836,27,Eixample,Sant Antoni
935912852502975803,25,Les Corts,Pedralbes
934246342884789714,22,Gràcia,el Camp d'en Grassot i Gràcia Nova
934253492450403640,21,Sant Andreu,Sant Andreu
935946660793838796,36,Sants-Montjuïc,Sants
934268238094434681,23,Eixample,l'Antiga Esquerra de l'Eixample
936044365202000779,94,Ciutat Vella,el Raval
936049105469737301,79,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
936050097233990625,83,Ciutat Vella,el Raval
934295713871895103,34,Eixample,la Nova Esquerra de l'Eixample
936051382691009259,97,Ciutat Vella,el Raval
934447500013738811,80,Eixample,la Dreta de l'Eixample
936060040692290334,91,Ciutat Vella,el Raval
934463706767985281,90,Sant Martí,el Poblenou
936080678340256960,149,Sants-Montjuïc,la Font de la Guatlla
934525261902922027,90,Sants-Montjuïc,Hostafrancs
934534184251004037,87,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou
936104848171276056,85,Sant Martí,el Parc i la Llacuna del Poblenou
934559310851627496,250,Eixample,la Dreta de l'Eixample
934562199421149361,79,Ciutat Vella,el Barri Gòtic
936145607313793313,140,Ciutat Vella,el Raval
934569762956936202,79,Ciutat Vella,el Barri Gòtic
936148502622802839,140,Ciutat Vella,el Raval
934585210852616183,25,Sant Martí,el Poblenou
934600402034147439,89,Eixample,el Fort Pienc
936159615948743572,92,Eixample,la Sagrada Família
934608769183935397,50,Sant Martí,el Poblenou
936165086661893332,92,Eixample,la Sagrada Família
936170142452176353,82,Eixample,la Nova Esquerra de l'Eixample
936177076407284470,82,Eixample,la Nova Esquerra de l'Eixample
936210360061378403,112,Eixample,la Sagrada Família
936248186152348003,135,Eixample,la Nova Esquerra de l'Eixample
934618458088578280,369,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
934627599963971707,126,Ciutat Vella,el Raval
934628711884100070,50,Sant Martí,el Poblenou
934632233216918338,108,Ciutat Vella,el Raval
936259392376276915,48,Gràcia,el Camp d'en Grassot i Gràcia Nova
934646479645425713,75,Ciutat Vella,el Barri Gòtic
936330301809900867,35,Gràcia,la Vila de Gràcia
937457482623703340,76,Ciutat Vella,el Barri Gòtic
937465735746863453,60,Sant Andreu,la Sagrera
